Società,Acquisti,Spese,Cessioni,Entrate,Saldo,Anno
Torino,31,13.4,29,16.75,3.35,2022
Empoli,41,10.5,38,28.20,17.7,2022
Udinese,26,9.4,29,79.63,70.23,2022
Juventus,25,122.75,24,111.59,-11.16,2023
Atalanta,76,108.45,77,137.35,28.9,2023
Napoli,33,79.3,31,86.18,6.88,2023
Udinese,30,69.7,28,62.6,-7.1,2023
Inter,50,65.68,46,24.85,-40.83,2023
Milan,30,58.29,28,11.11,-47.18,2023
Bologna,34,52.3,31,42.75,-9.55,2023
Sassuolo,46,51.28,51,79.33,28.05,2023
Monza,33,51.0,34,0.185,-50.82,2023
Salernitana,47,48.37,53,23.32,-25.05,2023
Lazio,37,41.65,38,42.35,0.698,2023
Hellas Verona,45,41.21,42,36.56,-4.66,2023
Fiorentina,36,37.61,37,50.73,13.12,2023
Cremonese,42,36.65,42,0.5,-36.15,2023
Torino,34,30.38,35,57.22,26.84,2023
Spezia,33,18.32,33,32.97,14.66,2023
Empoli,52,15.85,51,28.31,12.46,2023
AS Roma,29,9.4,30,81.42,72.02,2023
Sampdoria,53,6.77,50,35.6,28.83,2023
Lecce,32,4.63,28,3.6,-1.03,2023
Milan,27,128.38,30,71.27,-57.11,2024
Napoli,30,118.81,31,102.81,-16.0,2024
Juventus,27,95.45,28,66.73,-28.72,2024
Bologna,31,88.67,35,25.40,-63.26,2024
Atalanta,45,81.36,43,158.92,77.56,2024
Inter,48,73.5,53,127.03,53.53,2024
Sassuolo,46,61.01,45,103.34,42.33,2024
Genoa,50,53.63,53,33.97,-19.66,2024
Fiorentina,44,45.75,42,65.23,19.48,2024
Monza,32,45.55,31,-,-45.55,2024
Torino,30,45.4,33,16.77,-28.63,2024
Lazio,26,40.3,25,48.80,8.5,2024
Udinese,27,36.25,25,34.59,-1.66,2024
Salernitana,33,28.55,31,4.76,-23.79,2024
Cagliari,25,26.44,26,18.37,-8.07,2024
AS Roma,21,24.6,25,81.48,56.88,2024
Lecce,29,23.02,33,27.45,4.43,2024
Hellas Verona,43,13.9,46,101.26,87.36,2024
Empoli,42,13.4,44,66.20,52.8,2024
Frosinone,42,10.3,40,9.75,-0.55,2024
